time,X,Y
10.709052,235,487
10.709942,234,488
10.710225,233,489
10.710519,234,489
10.710891,235,488
10.711133,236,487
10.711160,235,487
10.711278,234,488
10.711534,233,489
10.711783,232,489
10.711823,233,488
10.712167,234,487
10.712483,235,486
10.712871,236,485
10.712883,237,484
10.713100,238,483
10.713113,239,482
10.713490,240,481
10.713630,239,482
10.713914,240,481
10.713984,241,480
10.714543,242,479
10.714603,241,480
10.715353,242,479
10.715562,243,478
10.715773,244,477
10.715874,245,476
10.716076,246,476
10.716288,247,475
10.716343,246,476
10.716882,247,475
10.717088,248,474
10.717152,247,475
10.717204,248,474
10.717712,247,474
10.718464,248,473
10.718566,249,472
10.718570,250,471
10.718621,251,471
10.718821,250,472
10.719139,251,471
10.719345,252,470
10.719462,251,471
10.719502,250,472
10.719544,251,471
10.719635,250,472
10.719838,251,471
10.719916,252,470
10.720185,251,471
10.720390,250,471
10.720752,251,470
10.720909,252,469
10.721100,253,468
10.721570,252,469
10.721612,251,470
10.721703,252,469
10.721759,253,468
10.721825,252,469
10.722324,253,468
10.722612,254,467
10.722769,253,467
10.722926,252,468
10.722987,251,469
10.723063,252,468
10.723462,253,467
10.723866,252,468
10.724056,253,467
10.724077,254,466
10.724560,255,465
10.724575,256,464
10.724656,257,463
10.724672,256,464
10.724808,257,463
10.725041,258,462
10.725601,259,461
10.725643,260,460
10.725698,259,461
10.725900,258,461
10.726057,259,460
10.726506,260,459
10.726622,261,458
10.726933,262,457
10.727453,263,456
10.727559,264,455
10.727673,265,454
10.727725,266,453
10.728152,267,452
10.728306,268,451
10.728900,269,450
10.729212,270,449
10.729376,269,449
10.729810,270,448
10.729882,271,447
10.729945,272,446
10.730072,271,447
10.730133,270,448
10.730176,269,448
10.730182,268,449
10.730294,269,448
10.730429,270,447
10.730493,271,446
10.730702,272,445
10.731042,273,444
10.731319,274,443
10.731433,275,442
10.731595,276,441
10.731958,277,440
10.732042,276,441
10.732544,275,442
10.732689,276,441
10.732986,275,441
10.733086,274,442
10.733286,275,441
10.733359,274,442
10.733568,275,441
10.733712,276,440
10.733718,277,439
10.734029,278,438
10.734061,277,439
10.734295,276,440
10.734315,275,441
10.734475,276,440
10.734494,275,441
10.734543,274,441
10.734974,275,440
10.735376,276,439
10.735454,277,438
10.735481,278,437
10.735787,279,436
10.735901,280,435
10.735905,279,435
10.736220,278,436
10.736290,277,436
10.736370,278,435
10.736502,279,434
10.737159,280,433
10.737315,279,434
10.737535,280,433
10.737762,281,432
10.737891,280,433
10.737981,281,432
10.738064,282,431
10.738164,283,430
10.738300,284,429
10.738310,285,429
10.738607,284,430
10.738661,285,429
10.738709,284,430
10.738716,285,429
10.739405,286,428
10.739797,287,427
10.739985,288,426
10.740077,289,425
10.740426,290,424
10.740598,289,425
10.740774,290,424
10.740813,291,423
10.740907,292,422
10.741260,293,421
10.741482,294,420
10.741627,295,419
10.741662,296,418
10.741689,297,417
10.741869,298,416
10.742038,299,415
10.742072,298,416
10.742413,297,416
10.742711,296,417
10.742903,297,416
10.743081,296,417
10.743203,297,416
10.743539,298,415
10.743558,297,416
10.743780,296,417
10.743966,297,416
10.744012,296,417
10.744397,297,416
10.744462,296,416
10.744613,297,415
10.745422,298,414
10.745547,299,413
10.745953,300,412
10.745989,301,411
10.746072,302,410
10.746308,303,409
10.746316,304,409
10.746429,305,408
