side,temp,obs,variable,value
64,2.3,energy,mean,-1.31815864405777
64,2.3,magnet,mean,0.429389991714015
64,2.4,energy,mean,-1.18982994495739
64,2.4,magnet,mean,0.16151913766572
64,2.5,energy,mean,-1.07197394452336
64,2.5,magnet,mean,0.0992206104008838
64,2.6,energy,mean,-0.991050560290404
64,2.6,magnet,mean,0.0746610169073548
64,2.7,energy,mean,-0.935193219302399
64,2.7,magnet,mean,0.0612471758601641
64,2.8,energy,mean,-0.896000270280934
64,2.8,magnet,mean,0.0529011723682134
64,2.9,energy,mean,-0.865241884666982
64,2.9,magnet,mean,0.0467877688012942
64,3,energy,mean,-0.80609846807923
64,3,magnet,mean,0.0425303745462437
64,3.1,energy,mean,-0.793394585503472
64,3.1,magnet,mean,0.0389801417495265
64,3.2,energy,mean,-0.758857679332386
64,3.2,magnet,mean,0.0364125399502841
64,3.3,energy,mean,-0.692764538944129
64,3.3,magnet,mean,0.0341735134548611
64,3.4,energy,mean,-0.678668977864583
64,3.4,magnet,mean,0.0323753472222222
64,3.5,energy,mean,-0.690412777185922
64,3.5,magnet,mean,0.0308962811710859
64,3.6,energy,mean,-0.624039834872159
64,3.6,magnet,mean,0.0295529257417929
64,3.7,energy,mean,-0.600648503590593
64,3.7,magnet,mean,0.0284110977943497
64,3.8,energy,mean,-0.582288912563131
64,3.8,magnet,mean,0.0274461124921086
64,3.9,energy,mean,-0.568555416469381
64,3.9,magnet,mean,0.0265772584240846
64,4,energy,mean,-0.562122709517046
64,4,magnet,mean,0.0257374230587121
64,4.1,energy,mean,-0.572437269176136
64,4.1,magnet,mean,0.0250837239583333
64,4.2,energy,mean,-0.507100203203914
64,4.2,magnet,mean,0.0245030682804609
90,0.2,energy,mean,-2.00444444444444
90,0.2,magnet,mean,1
90,0.3,energy,mean,-2.00098765432099
90,0.3,magnet,mean,1
90,0.4,energy,mean,-1.98839504177578
90,0.4,magnet,mean,0.999999995011847
90,0.5,energy,mean,-1.99703615413393
90,0.5,magnet,mean,0.999999779274224
90,0.6,energy,mean,-1.98418452575134
90,0.6,magnet,mean,0.999996743733633
90,0.7,energy,mean,-2.02583799426362
90,0.7,magnet,mean,0.999977944382093
90,0.8,energy,mean,-2.01148123357027
90,0.8,magnet,mean,0.99990668761691
90,0.9,energy,mean,-1.9833017328844
90,0.9,magnet,mean,0.999710762439207
90,1,energy,mean,-1.9912290390323
90,1,magnet,mean,0.999274364633994
90,1.1,energy,mean,-1.98680920264372
90,1.1,magnet,mean,0.99844666841252
90,1.2,energy,mean,-1.97526587754084
90,1.2,magnet,mean,0.997026614041651
90,1.3,energy,mean,-1.98124145703953
90,1.3,magnet,mean,0.994769709689488
90,1.4,energy,mean,-1.97920607207881
90,1.4,magnet,mean,0.991388080309265
90,1.5,energy,mean,-1.95853230377853
90,1.5,magnet,mean,0.986501853847113
90,1.6,energy,mean,-1.91367624491832
90,1.6,magnet,mean,0.979623006858711
90,1.7,energy,mean,-1.87028366579374
90,1.7,magnet,mean,0.970081653323357
90,1.8,energy,mean,-1.85192174186308
90,1.8,magnet,mean,0.956865024566654
90,1.9,energy,mean,-1.82944649657064
90,1.9,magnet,mean,0.938282068836513
90,2,energy,mean,-1.7243113061479
90,2,magnet,mean,0.911286707569522
90,2.1,energy,mean,-1.65588760094775
90,2.1,magnet,mean,0.868749727397431
90,2.2,energy,mean,-1.52697753884524
90,2.2,magnet,mean,0.784606997131812
90,2.3,energy,mean,-1.34380729816685
90,2.3,magnet,mean,0.350766112233446
90,2.4,energy,mean,-1.16591580945255
90,2.4,magnet,mean,0.111725541339319
90,2.5,energy,mean,-1.08806182865694
90,2.5,magnet,mean,0.0702843342062601
90,2.6,energy,mean,-1.02253778276593
90,2.6,magnet,mean,0.053243890260631
